21,40
400.00386431216816,299.9930993818536
500.00752307275707,299.99087008919645
495.11259094725574,330.90587906627246
480.89227743233573,358.7719523364003
458.7755878528224,380.89382565438893
430.9115587099089,395.11100454958626
400.006435062828,399.9917818082868
369.09517553439144,395.11433009310883
341.2186213789542,380.8925073538431
319.0978410504499,358.7818664360139
304.90193258946516,330.89291159037884
300.0019974917737,300.0031574742937
304.8855877205428,269.09549528658096
319.09842550286356,241.22931195293418
341.2151507859201,219.1021772599893
369.09027259634973,204.90099658385546
399.9911013347717,199.9943771995604
430.8926636369287,204.90047900704104
458.7765620721823,219.10686366228504
480.8946259054246,241.22407793031817
495.09660714150647,269.0920118573528
0,1,100.00365878543673
0,2,100.00634894828046
1,2,31.300130040719566
0,3,99.98944410162066
2,3,31.28474637836706
0,4,99.99521488232716
3,4,31.281388029524678
0,5,100.0135063702994
4,5,31.28150085617981
0,6,99.99868245947745
5,6,31.28815517556773
0,7,100.01697642893083
6,7,31.293697462400534
0,8,100.00209496273256
7,8,31.294768150732832
0,9,100.00951820588888
8,9,31.276338726569712
0,10,99.9958789746447
9,10,31.29405086297601
0,11,100.00186732621114
10,11,31.27596958231333
0,12,100.01074182601165
11,12,31.291101537534537
0,13,99.994363550739
12,13,31.28144707987433
0,14,99.99727056173471
13,14,31.285134280771718
0,15,99.9907904125043
14,15,31.28411655365205
0,16,99.99872299677155
15,16,31.28795503869861
0,17,99.98362052593187
16,17,31.28859836521054
0,18,99.98406438463871
17,18,31.29429911214323
0,19,99.98556492568358
18,19,31.279065118853392
0,20,99.98753396800788
19,20,31.27807558644856
20,1,31.286683034725524
